Date,Open,High,Low,Close,Adj Close,Volume
03-01-2000,33.917892,35.945827,33.917892,35.945827,26.684868,31204789
04-01-2000,36.902668,38.82349,35.888702,38.82349,28.821136,66436055
05-01-2000,36.652744,41.115627,36.652744,40.34444,29.95023,187894923
06-01-2000,41.27272,42.943623,41.27272,42.036766,31.206558,109810562
07-01-2000,42.129593,45.399994,41.843967,44.92157,33.348133,139140630
10-01-2000,45.328587,45.51424,43.600559,44.057556,32.706722,93948967
11-01-2000,43.979012,44.407448,40.537235,41.201313,30.586355,87837898
12-01-2000,41.27272,43.557716,40.294456,43.086433,31.985785,84793235
13-01-2000,43.700527,45.185776,43.429184,44.535976,33.061878,119569925
14-01-2000,44.200371,45.935539,44.200371,45.171494,33.533665,94253808
17-01-2000,45.449978,46.114052,43.850479,44.093262,32.733227,75127904
18-01-2000,44.128963,45.549946,43.636261,44.871586,33.31102,70605468
19-01-2000,46.106911,46.399677,45.157211,45.642773,33.883526,80395046
20-01-2000,45.699898,46.399677,44.350323,44.678791,33.1679,108034978
21-01-2000,44.657368,46.899521,44.5574,46.606754,34.599152,119997270
24-01-2000,46.485367,47.392223,45.985523,46.578194,34.57795,92172116
25-01-2000,46.421101,46.456802,45.449978,45.692757,33.920635,68292136
26-01-2000,45.692757,45.692757,45.692757,45.692757,33.920635,0
27-01-2000,46.985207,48.09914,46.085491,47.834942,35.510902,105134980
28-01-2000,47.970612,48.827484,47.356518,48.320499,35.871372,82165623
31-01-2000,47.763535,47.984894,46.635319,46.863815,34.789986,71361776
01-02-2000,47.242268,48.191971,46.842396,47.706409,35.415489,74978225
02-02-2000,48.970299,49.541546,48.349064,48.577564,36.062206,69677865
03-02-2000,48.841766,49.055984,48.042019,48.791782,36.221237,47415611
04-02-2000,49.127392,49.605812,48.798923,49.148811,36.486275,49764032
07-02-2000,48.713234,49.905716,48.277657,49.070267,36.427971,57373544
08-02-2000,49.341606,49.541546,48.706093,48.898891,36.300755,45028798
09-02-2000,49.84145,50.648338,49.241638,50.041389,37.148891,80082951
10-02-2000,49.812889,51.95507,49.25592,50.805431,37.716091,75571837
11-02-2000,51.983635,53.411755,51.419525,51.883663,38.516521,57107362
14-02-2000,51.269573,51.540916,49.984264,50.284168,37.32914,35903092
15-02-2000,50.269886,50.612637,48.848907,49.177376,36.507488,56888263
